"Store","Projected Guests","MGRForecastAdjustmentImpact","Manager Adjusted Projected Guests","MGRAdjustedGuestCountVariance","Total Guest Count","Scheduled Cook Hours","Cook Variance Hours","Scheduled Server Hours","Server Variance Hours","Scheduled Service Assistant Hours","Srv Assist Variance Hours","Scheduled Host Hours","Host Variance Hours","Expediter Variance Hours","ToGo Variance Hours","Guest % vs PY2"
5151: Rutland VT,130542.00,-4442.66,126099.34,-6570.66,132670,1171.50,-2852.2,2006.00,1516.9,691.50,735.6,,688.8,0.0,0.0,-5.36
5152: West Lebanon NH,143234.25,781.59,144015.84,562.84,143453,280.50,808.5,720.50,4662.3,517.00,-1291.0,205.50,-1285.2,0.0,0.0,-5.88
5153: Leominster MA,153263.84,2969.18,156233.02,3762.02,152471,847.50,209.7,1241.50,4861.6,706.00,-1092.8,620.00,-3554.4,0.0,0.0,-3.96
5154: Nashua NH,173790.75,603.01,174393.76,-1632.24,176026,1360.50,-4397.7,2090.00,2556.3,822.50,1122.2,116.50,442.4,0.0,0.0,1.25
6140: Edgewood MD,,0.00,,-101624.00,101624,,536.6,,5202.0,,-7.3,,51.3,0.0,0.0,-15.73
6262: Perryville MD,,0.00,,-103413.00,103413,,607.0,,4697.2,,-211.8,,-235.4,0.0,0.0,-18.66
6354: Auburn ME,,0.00,,-75538.00,75538,,3125.6,,7259.7,,1322.7,,133.3,0.0,0.0,-16.62
6714: North Aurora IL,236612.49,758.63,237371.12,3462.12,233909,1780.00,-6454.5,2179.00,1446.9,1050.00,-1473.6,442.00,-1413.8,0.0,0.0,-14.82
6754: Gurnee IL,211724.51,3598.29,215322.80,4796.80,210526,8774.75,-5650.5,11078.00,3174.1,4358.50,-625.2,1813.50,-724.8,0.0,0.0,-16.75
6862: Carpentersville IL,143868.25,2345.77,146214.02,2520.02,143694,11560.50,-1948.8,13667.25,8843.9,5915.25,-263.1,1946.25,-644.6,0.0,0.0,-17.05
7060: Middletown CT,,0.00,,-101369.00,101369,,1724.2,,8340.5,,-175.5,,-1963.9,0.0,0.0,-12.06
7147: Michigan City IN,94691.75,1304.07,95995.82,1465.82,94530,12392.00,-1197.0,19643.50,2216.4,6523.50,-793.8,,276.0,0.0,0.0,2.30
7153: East Greenbush NY,,0.00,,-150437.00,150437,,-5784.7,,8417.6,,4522.8,,197.4,-2257.3,0.0,0.29
7175: Oneida NY,,0.00,,-68385.00,68385,,4393.7,,10363.8,,-163.4,,-308.5,0.0,0.0,-20.74
7176: Bangor ME,,0.00,,-130841.00,130841,,1947.3,,3655.4,,846.6,,1296.8,0.0,0.0,10.49
7208: Southington CT,75301.45,-1072.61,74228.84,4715.84,69513,9213.75,-485.6,10291.50,5311.4,4091.00,-772.4,125.00,-854.4,0.0,0.0,-10.88
7224: Oneonta NY,,0.00,,-104957.00,104957,,541.9,,6279.5,,-3867.9,,-1216.8,0.0,0.0,-14.69
7305: Queensbury NY,,0.00,,-101875.00,101875,,-1223.2,,8536.5,,-1715.3,,124.6,0.0,0.0,-10.05
7331: Rockford IL,167235.25,3142.65,170377.90,2722.90,167655,10121.25,-4368.5,12159.25,4221.9,4668.50,719.7,1992.50,-1618.5,0.0,0.0,-4.70
7357: Utica NY,,0.00,,-64881.00,64881,,2403.5,,10232.4,,113.7,,-171.3,0.0,0.0,-25.76
7583: Warwick RI,102605.78,304.34,102910.12,2032.12,100878,,817.7,,7488.5,,-1713.7,,-374.3,0.0,0.0,-6.65
7614: Holyoke MA,99959.59,3508.21,103467.80,2310.80,101157,8860.50,733.7,12179.25,8173.4,5944.50,-2136.0,485.00,-25.8,0.0,0.0,18.68
7737: Avenel NJ,,0.00,,-126489.00,126489,,-140.5,,9484.7,,-3232.5,,437.6,0.0,0.0,-4.43
7738: Bordentown NJ,,0.00,,-60576.00,60576,,,,,,,,,,,2.16
7779: Saratoga Springs NY,,0.00,,-134657.00,134657,,950.0,,7564.7,,381.2,,471.7,0.0,0.0,-9.09
7842: Cambridge MD,,0.00,,-69788.00,69788,,2295.1,,13538.1,,-283.3,,384.0,0.0,0.0,-11.41
8116: Syracuse NY,131694.58,-1616.45,130078.13,198.13,129880,11973.00,-1647.0,14833.50,6418.1,4829.50,1175.8,1038.50,-302.0,0.0,0.0,-13.28
8118: Niagara Falls NY,124797.75,5020.75,129818.50,5760.50,124058,10813.50,-14.5,13165.25,5659.7,5000.75,468.9,621.50,188.1,0.0,0.0,-26.60
8119: Syracuse NY,121443.34,-521.46,120921.88,50.88,120871,10199.00,-483.7,13318.00,5647.6,5770.50,-171.9,559.50,37.5,0.0,0.0,-23.67
8121: Buffalo NY,115430.75,-3052.70,112378.05,-1232.95,113611,8470.00,1562.4,12650.75,7264.6,4802.50,-63.3,1015.25,-361.8,0.0,0.0,-15.47
8124: Lockport NY,116018.52,2381.50,118400.02,4656.02,113744,9601.00,238.5,11432.25,5399.8,4858.00,-17.5,672.00,-147.0,0.0,0.0,-13.06
8126: Rochester NY,140115.33,8926.59,149041.92,10332.92,138709,13814.00,-2283.8,19190.75,3323.9,3949.00,2788.2,1401.00,-395.3,0.0,0.0,-9.96
8134: Cicero NY,98435.59,4180.52,102616.11,5882.11,96734,7669.00,2127.6,9930.00,7082.1,4633.00,-328.4,277.50,129.0,0.0,0.0,-21.30
8135: West Seneca NY,141115.17,4273.60,145388.77,2986.77,142402,10316.75,-929.8,14711.00,3955.4,5526.00,667.8,987.75,-295.1,0.0,0.0,-7.73
8136: Amherst NY,192028.50,-240.20,191788.30,141.30,191647,11925.50,-405.1,18433.75,-146.4,7494.00,1162.5,2835.00,-975.1,0.0,0.0,-6.98
8137: Hamburg NY,126925.75,1168.54,128094.29,633.29,127461,9687.00,1520.4,16074.75,1936.8,6671.00,-761.6,802.50,704.4,108.0,0.0,-10.32
8139: Fredonia NY,117984.25,7135.09,125119.34,9154.34,115965,8724.50,1461.4,14312.25,3464.7,5509.50,149.5,1263.00,-314.4,0.0,0.0,-15.18
8140: Batavia NY,83342.25,3458.41,86800.66,4319.66,82481,6925.50,1834.9,13103.50,5891.4,3793.25,64.8,10.00,161.1,0.0,0.0,-27.22
8191: Wilkes-Barre PA,,0.00,,-129290.00,129290,,-4241.3,,3500.1,,5241.6,,-645.8,0.0,0.0,-6.05
8192: Scranton PA,,0.00,,-152384.00,152384,,-4013.0,,1818.0,,276.4,,-754.4,0.0,0.0,-6.76
8194: Binghamton NY,,0.00,,-114020.00,114020,,-407.2,,4218.5,,2646.3,,132.8,0.0,0.0,21.16
8195: Newburgh NY,,0.00,,-100370.00,100370,,886.4,,9815.7,,2811.5,,509.9,0.0,0.0,-19.94
8196: Middletown NY,,0.00,,-85879.00,85879,,2881.7,,9771.4,,3110.7,,440.1,0.0,0.0,-4.19
8197: Williamsport PA,,0.00,,-109935.00,109935,,-2474.8,,6398.4,,-1152.8,,-22.3,0.0,0.0,-20.57
8198: Bloomsburg PA,,0.00,,-93590.00,93590,,762.2,,4965.6,,1461.3,,271.2,0.0,0.0,-8.11
8199: Selinsgrove PA,,0.00,,-108798.00,108798,,1324.8,,6921.9,,30.9,,451.4,0.0,0.0,-8.48
8572: Mill Hall PA,,0.00,,-98456.00,98456,,797.6,,6400.2,,3786.0,,-1348.7,0.0,0.0,-6.70
8608: Hebron IN,103977.50,1696.88,105674.38,2004.38,103670,11356.00,-1360.3,17893.00,1864.5,5686.00,-1629.5,1201.50,-461.9,0.0,0.0,-13.77
8614: North East MD,,0.00,,-107156.00,107156,,-1842.3,,3578.7,,1748.0,,-833.7,0.0,0.0,-16.38
8616: South Beloit IL,116089.50,3651.94,119741.44,5034.44,114707,5266.00,-1443.9,8838.50,2646.9,2557.00,-509.1,515.00,109.3,0.0,0.0,-22.00
8628: Lasalle IL,90240.00,302.17,90542.17,839.17,89703,9194.75,-189.1,11964.50,5574.3,3268.00,-369.6,,318.6,0.0,0.0,-9.10
8635: New Milford PA,,0.00,,-51323.00,51323,,2123.9,,8541.0,,2832.3,,-36.1,0.0,0.0,-27.03
8657: Geneva NY,85430.50,1423.96,86854.46,-1864.54,88719,6244.00,4126.1,11526.00,7578.8,3789.50,-86.7,48.00,-127.9,0.0,0.0,3.61
8694: Centereach NY,,0.00,,-85325.00,85325,,3.0,,12984.2,,-251.2,,-1455.2,-391.1,0.0,1.74
8732: Schenectady NY,,0.00,,-83163.00,83163,,-248.9,,9086.2,,-804.7,,-778.6,0.0,0.0,-15.43
8760: Jackson Heights NY,102022.58,3666.51,105689.09,5234.09,100455,773.25,3605.8,1133.50,12120.7,440.75,669.8,136.50,-463.2,0.0,0.0,-14.63
8782: Depew NY,150414.50,264.45,150678.95,-2141.05,152820,7147.00,3754.6,19221.00,3869.6,7511.00,-1050.7,1932.00,-568.8,0.0,0.0,17.50
8804: Hazleton PA,,0.00,,-98550.00,98550,,410.7,,4982.1,,685.8,,11.8,0.0,0.0,6.96
8810: Hartford CT,84494.15,5842.69,90336.84,8770.84,81566,5916.00,130.8,6953.00,8930.5,2625.00,-730.9,286.00,-120.4,0.0,0.0,-20.02
