"Store","Net Sales","Guests","Total Labor Avg Wage","Primary Hours","Guests/ Primary Hr","Sales/Primary Hr","Host  Hours","Guests/Host Hr","Sales/Host Hr","Server  Hours","Guests / Server Hr","Sales/Server Hr","Cook Hours","Guests / Cook Hr","Sales/Cook Hr","Srv Asst Hours","Guests / Srv Asst Hrs","Sales/Srv Assit Hr"
5151: Rutland VT,$2083996,132670,$14.71,37179.8,3.57,$56.05,286.2,463.59,$7282.12,18750.0,7.08,$111.15,13293.2,9.98,$156.77,4850.36,27.35,$429.66
5152: West Lebanon NH,$2212529,143453,$14.95,35292.5,4.06,$62.69,2426.3,59.13,$911.91,15687.7,9.14,$141.04,9747.5,14.72,$226.98,7430.98,19.30,$297.74
5153: Leominster MA,$2450688,152471,$15.76,38418.9,3.97,$63.79,4728.4,32.25,$518.29,15667.4,9.73,$156.42,10364.2,14.71,$236.46,7658.84,19.91,$319.98
5154: Nashua NH,$2677298,176026,$15.37,42034.8,4.19,$63.69,1020.6,172.47,$2623.21,19105.7,9.21,$140.13,15602.7,11.28,$171.59,6305.79,27.91,$424.58
6140: Edgewood MD,$1677594,101624,$0.00,29637.5,3.43,$56.60,660.7,153.82,$2539.27,14351.0,7.08,$116.90,8938.4,11.37,$187.68,5687.27,17.87,$294.97
6262: Perryville MD,$1582301,103413,$0.00,30790.0,3.36,$51.39,1009.4,102.45,$1567.63,15133.8,6.83,$104.55,8951.0,11.55,$176.77,5695.85,18.16,$277.80
6354: Auburn ME,$1265165,75538,$0.00,20607.8,3.67,$61.39,136.7,552.62,$9255.72,11421.3,6.61,$110.77,5928.4,12.74,$213.41,3121.32,24.20,$405.33
6714: North Aurora IL,$3789614,233909,$0.00,57430.0,4.07,$65.99,3983.8,58.72,$951.26,23883.1,9.79,$158.67,18938.5,12.35,$200.10,10624.56,22.02,$356.68
6754: Gurnee IL,$3510976,210526,$14.89,52111.4,4.04,$67.37,3129.8,67.27,$1121.80,22180.9,9.49,$158.29,18087.5,11.64,$194.11,8713.19,24.16,$402.95
6862: Carpentersville IL,$2279915,143694,$0.00,33233.7,4.32,$68.60,1823.6,78.80,$1250.22,12683.1,11.33,$179.76,12591.8,11.41,$181.06,6135.14,23.42,$371.62
7060: Middletown CT,$1642962,101369,$0.00,26838.5,3.78,$61.22,2429.9,41.72,$676.15,10715.5,9.46,$153.33,7501.8,13.51,$219.01,6191.50,16.37,$265.36
7147: Michigan City IN,$1436562,94530,$0.00,31819.4,2.97,$45.15,0.0,0.00,$0.00,16519.6,5.72,$86.96,10497.0,9.01,$136.85,4802.78,19.68,$299.11
7153: East Greenbush NY,$2612852,150437,$0.00,35034.4,4.29,$74.58,920.6,163.41,$2838.21,12510.4,12.02,$208.85,15699.7,9.58,$166.43,3646.20,41.26,$716.60
7175: Oneida NY,$1142313,68385,$0.00,17424.2,3.92,$65.56,586.5,116.60,$1947.78,8075.2,8.47,$141.46,4620.3,14.80,$247.24,4142.42,16.51,$275.76
7176: Bangor ME,$2189481,130841,$0.00,32865.8,3.98,$66.62,480.2,272.46,$4559.33,18016.6,7.26,$121.53,8616.7,15.18,$254.10,5752.36,22.75,$380.62
7208: Southington CT,$1228198,69513,$0.00,21032.9,3.30,$58.39,1120.4,62.05,$1096.25,8735.6,7.96,$140.60,7467.6,9.31,$164.47,3709.43,18.74,$331.10
7224: Oneonta NY,$1770774,104957,$0.00,34075.2,3.08,$51.97,2153.8,48.73,$822.16,13712.5,7.65,$129.14,9035.1,11.62,$195.99,9173.90,11.44,$193.02
7305: Queensbury NY,$1712600,101875,$0.00,29286.4,3.48,$58.48,490.4,207.74,$3492.32,10745.5,9.48,$159.38,10550.2,9.66,$162.33,7500.26,13.58,$228.34
7331: Rockford IL,$2693404,167655,$0.00,42567.4,3.94,$63.27,2999.5,55.89,$897.95,17861.1,9.39,$150.80,15319.5,10.94,$175.82,6387.26,26.25,$421.68
7357: Utica NY,$1086984,64881,$0.00,18781.7,3.45,$57.87,384.2,168.85,$2828.85,8020.6,8.09,$135.52,6569.5,9.88,$165.46,3807.26,17.04,$285.50
7583: Warwick RI,$1676935,100878,$13.21,26469.8,3.81,$63.35,795.3,126.84,$2108.58,11259.5,8.96,$148.93,8527.3,11.83,$196.66,5887.75,17.13,$284.82
7614: Holyoke MA,$1772231,101157,$14.55,26406.6,3.83,$67.11,392.8,257.53,$4511.91,10813.6,9.35,$163.89,8703.3,11.62,$203.63,6496.98,15.57,$272.78
7737: Avenel NJ,$2055322,126489,$13.75,32114.7,3.94,$64.00,924.4,136.83,$2223.36,12231.3,10.34,$168.04,10875.5,11.63,$188.99,8083.46,15.65,$254.26
7738: Bordentown NJ,$960089,60576,$0.00,,0.00,$0.00,,0.00,$0.00,,0.00,$0.00,,0.00,$0.00,,0.00,$0.00
7779: Saratoga Springs NY,$2226223,134657,$0.00,30328.1,4.44,$73.40,922.2,146.01,$2413.90,13580.3,9.92,$163.93,9231.0,14.59,$241.17,6594.76,20.42,$337.57
7842: Cambridge MD,$1086648,69788,$0.00,16218.0,4.30,$67.00,0.0,0.00,$0.00,5200.9,13.42,$208.94,6872.9,10.15,$158.11,4144.28,16.84,$262.20
8116: Syracuse NY,$2241304,129880,$14.70,30629.2,4.24,$73.18,927.0,140.10,$2417.73,13527.9,9.60,$165.68,11533.0,11.26,$194.34,4641.18,27.98,$482.92
8118: Niagara Falls NY,$2070580,124058,$14.35,29807.8,4.16,$69.46,569.9,217.66,$3632.92,14320.3,8.66,$144.59,10021.5,12.38,$206.61,4896.13,25.34,$422.90
8119: Syracuse NY,$2080327,120871,$14.68,30162.6,4.01,$68.97,483.5,249.98,$4302.46,13922.4,8.68,$149.42,10200.7,11.85,$203.94,5555.87,21.76,$374.44
8121: Buffalo NY,$1937660,113611,$14.16,26616.8,4.27,$72.80,1017.8,111.62,$1903.77,12435.4,9.14,$155.82,8302.6,13.68,$233.38,4861.27,23.37,$398.59
8124: Lockport NY,$1917730,113744,$14.19,29192.2,3.90,$65.69,659.0,172.61,$2910.19,14108.2,8.06,$135.93,9448.5,12.04,$202.97,4976.48,22.86,$385.36
8126: Rochester NY,$2401529,138709,$14.99,34077.2,4.07,$70.47,1177.3,117.82,$2039.79,17150.1,8.09,$140.03,12471.8,11.12,$192.56,3277.82,42.32,$732.66
8134: Cicero NY,$1574243,96734,$14.57,24042.7,4.02,$65.48,251.0,385.43,$6272.38,11959.8,8.09,$131.63,7302.4,13.25,$215.58,4529.41,21.36,$347.56
8135: West Seneca NY,$2367336,142402,$14.48,34920.8,4.08,$67.79,1290.1,110.38,$1835.03,16852.6,8.45,$140.47,11339.8,12.56,$208.76,5438.16,26.19,$435.32
8136: Amherst NY,$3046691,191647,$0.00,44935.8,4.26,$67.80,2740.1,69.94,$1111.91,23245.4,8.24,$131.07,11967.1,16.01,$254.59,6983.49,27.44,$436.27
