Store,Owner,Restaurant Count,Weighted Quintile,Overall Rank,Overall Quintile,AUV L12M,Weekly AUV L12M,Comp Sales,Comp Traffic,YoY Off-Prem Sales Growth,Missing & Incorrect %,Google Rating L90D,BBI Overall L90D,BBI Food L90D,BBI Service L90D,BBI Ambiance L90D,BBI Value L90D,Complaint/10k Guest L12M,Latest RRA Score,Ignite % Complete,Diff Certified Managers,Average Daily Hours
8760: Jackson Heights NY,Abdel Hassen,1,4.15,1168,5,"$1,921,997.41 ","$36,961.49 ",-10.15%,-9.17%,-6.20%,4.31%,3.35,-3.57,8.33,-13.95,-14.29,-50,1.95587545,14,68.42%,,15.85714286
8732: SCHENECTADY NY,Suprio Banerjee,1,4.3,1191,5,"$1,425,693.54 ","$27,417.18 ",-9.07%,-12.00%,-7.23%,5.33%,2.75,-23.46,-6.25,-25,-71.43,,2.477174605,15,52.94%,,21.42857143
7305: QUEENSBURY NY,Suprio Banerjee,1,4.15,1168,5,"$1,707,611.62 ","$32,838.68 ",-7.13%,-10.27%,-3.45%,2.92%,2.75,-11.76,-45.24,17.39,-37.5,100,2.02884829,26,64.00%,,21
7779: SARATOGA SPRINGS NY,Suprio Banerjee,1,3.8,1078,5,"$2,217,232.56 ","$42,639.09 ",-4.63%,-7.38%,-3.42%,5.23%,3.75,-4.26,10,-11.11,0,,0.585205993,5,66.67%,,21.42857143
7153: EAST GREENBUSH NY,Suprio Banerjee,1,3.15,762,4,"$2,610,142.77 ","$50,195.05 ",-2.69%,-5.22%,9.36%,4.29%,4.21,63.75,73.68,60,14.29,75,1.566640991,11,67.74%,,24
7060: MIDDLETOWN CT,Jignesh Doshi,1,3.8,1086,5,"$1,639,182.66 ","$31,522.74 ",-3.00%,-6.79%,-3.46%,2.83%,4.17,-66.67,-100,-100,,,0.969292804,17,38.46%,,22.07142857
7842: CAMBRIDGE MD,Gurdip Gill,1,4,1139,5,"$1,083,622.56 ","$20,838.90 ",-11.97%,-13.67%,-5.19%,5.51%,5,100,,,,,0.845701721,25,50.00%,,19
6140: EDGEWOOD MD,Gurdip Gill,1,3.85,1097,5,"$1,672,945.37 ","$32,172.03 ",-12.24%,-14.66%,-10.44%,3.19%,3.85,4.94,-21.62,55,-100,,1.451350724,11,76.00%,,24
6262: PERRYVILLE MD,Gurdip Gill,1,3.7,1045,5,"$1,578,759.36 ","$30,360.76 ",-9.04%,-9.99%,-7.69%,6.47%,3.88,56,66.67,33.33,,,0.855773619,7,55.56%,,21.14285714
8614: NORTH EAST MD,Gurdip Gill,1,3.4,899,4,"$1,841,278.81 ","$35,409.21 ",-7.86%,-11.30%,0.87%,4.10%,4.35,43.86,31.58,43.75,50,-50,0.734551465,8,91.67%,,24
7061: NORTHFIELD NJ,Gurjit (Bobby) Sidhu,1,3.85,1097,5,"$2,239,122.67 ","$43,060.05 ",-2.77%,-2.88%,11.51%,6.09%,3.86,8.33,64.29,-2.86,-66.67,,1.326176633,34,90.00%,,24
6455: VINELAND NJ,Gurjit (Bobby) Sidhu,1,3.8,1086,5,"$1,821,528.26 ","$35,029.39 ",-8.24%,-9.06%,-4.91%,4.74%,3.8,20,9.09,50,,,1.418012301,42,91.67%,,24
6150: GALLOWAY NJ,Gurjit (Bobby) Sidhu,1,3.5,951,4,"$2,265,978.97 ","$43,576.52 ",-3.00%,-6.89%,6.01%,1.31%,4.75,54.55,75,62.5,55.56,,0.223312317,35,18.18%,,19.71428571
8812: EAST BRUNSWICK NJ,Pradeep K Massand,1,3.85,1097,5,"$995,638.77 ","$19,146.90 ",-11.29%,-15.35%,-1.85%,4.30%,4.42,58,100,35.71,-50,100,1.526111772,19,85.71%,,15.57142857
