"Store","Primary $","Primary Std $","Variance $","Actual %","Standard %","Variance %","Hrly Mgt $","Hrly Mgmt %","Training $","Training %","Other $","Other %","Total Labor $","Total Labor %","Overtime $","Overtime %"
5151: Rutland VT,$494980,$471484,-$23497,23.8%,22.6%,-1.1%,$54671,2.6%,$26988,1.3%,$1691,0.1%,$590203,28.3%,$51410,2.5%
5152: West Lebanon NH,$481742,$492460,$10718,21.8%,22.3%,0.5%,$78282,3.5%,$18952,0.9%,$348,0.0%,$583951,26.4%,$44732,2.0%
5153: Leominster MA,$521767,$488420,-$33347,21.3%,19.9%,-1.4%,$54654,2.2%,$43481,1.8%,$1724,0.1%,$621683,25.4%,$92011,3.8%
5154: Nashua NH,$552314,$504424,-$47891,20.6%,18.8%,-1.8%,$89897,3.4%,$16821,0.6%,$285,0.0%,$678376,25.3%,$116543,4.4%
6140: Edgewood MD,$330054,$363543,$33489,19.7%,21.7%,2.0%,$20556,1.2%,$6634,0.4%,$426,0.0%,$357670,21.3%,$6662,0.4%
6262: Perryville MD,$343897,$372693,$28796,21.7%,23.6%,1.8%,$15169,1.0%,$11258,0.7%,$76,0.0%,$370399,23.4%,$5241,0.3%
6354: Auburn ME,$261562,$404945,$143382,20.7%,32.0%,11.3%,$16833,1.3%,$6408,0.5%,$222,0.0%,$285025,22.5%,$4803,0.4%
6714: North Aurora IL,$824812,$665532,-$159280,21.8%,17.6%,-4.2%,$0,0.0%,$27358,0.7%,$0,0.0%,$860390,22.7%,$56765,1.5%
6754: Gurnee IL,$744041,$644230,-$99811,21.2%,18.3%,-2.8%,$0,0.0%,$57158,1.6%,$5168,0.1%,$882325,25.1%,$78250,2.2%
6862: Carpentersville IL,$512755,$540635,$27880,22.5%,23.7%,1.2%,$0,0.0%,$10265,0.5%,$0,0.0%,$579485,25.4%,$51170,2.2%
7060: Middletown CT,$373402,$435233,$61832,22.7%,26.5%,3.8%,$0,0.0%,$3477,0.2%,$0,0.0%,$376879,22.9%,$71075,4.3%
7147: Michigan City IN,$283515,$259583,-$23932,19.7%,18.1%,-1.7%,$0,0.0%,$16655,1.2%,$0,0.0%,$368716,25.7%,$12749,0.9%
7153: East Greenbush NY,$553103,$573713,$20610,21.2%,22.0%,0.8%,$27981,1.1%,$111994,4.3%,$0,0.0%,$693079,26.5%,$37700,1.4%
7175: Oneida NY,$239733,$417635,$177903,21.0%,36.6%,15.6%,$1395,0.1%,$14786,1.3%,$250,0.0%,$256164,22.4%,$8890,0.8%
7176: Bangor ME,$392290,$486468,$94178,17.9%,22.2%,4.3%,$47407,2.2%,$20589,0.9%,$3781,0.2%,$464067,21.2%,$16831,0.8%
7208: Southington CT,$278462,$276091,-$2371,22.7%,22.5%,-0.2%,$3269,0.3%,$13504,1.1%,$0,0.0%,$295236,24.0%,$7669,0.6%
7224: Oneonta NY,$490806,$484218,-$6588,27.7%,27.3%,-0.4%,$12026,0.7%,$3939,0.2%,$0,0.0%,$506771,28.6%,$91076,5.1%
7305: Queensbury NY,$444289,$493172,$48883,25.9%,28.8%,2.9%,$92289,5.4%,$32332,1.9%,$6325,0.4%,$575236,33.6%,$24709,1.4%
7331: Rockford IL,$605247,$547223,-$58024,22.5%,20.3%,-2.2%,$0,0.0%,$21729,0.8%,$0,0.0%,$645741,24.0%,$51112,1.9%
7357: Utica NY,$262005,$409437,$147431,24.1%,37.7%,13.6%,$2451,0.2%,$20957,1.9%,$2529,0.2%,$287941,26.5%,$7489,0.7%
7583: Warwick RI,$339350,$352549,$13199,20.2%,21.0%,0.8%,$11302,0.7%,$26480,1.6%,$5271,0.3%,$382403,22.8%,$39180,2.3%
7614: Holyoke MA,$377618,$412155,$34537,21.3%,23.3%,1.9%,$33625,1.9%,$36965,2.1%,$392,0.0%,$448600,25.3%,$30184,1.7%
7737: Avenel NJ,$427397,$445124,$17726,20.8%,21.7%,0.9%,$3206,0.2%,$44509,2.2%,$0,0.0%,$475113,23.1%,$11635,0.6%
7738: Bordentown NJ,,,,0.0%,0.0%,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%
7779: Saratoga Springs NY,$452354,$570798,$118444,20.3%,25.6%,5.3%,$47509,2.1%,$65516,2.9%,$0,0.0%,$565380,25.4%,$44135,2.0%
7842: Cambridge MD,$207627,$318724,$111097,19.1%,29.3%,10.2%,$24132,2.2%,$19690,1.8%,$2567,0.2%,$254016,23.4%,$5682,0.5%
8116: Syracuse NY,$448196,$508154,$59958,20.0%,22.7%,2.7%,$5649,0.3%,$12743,0.6%,$0,0.0%,$466588,20.8%,$6635,0.3%
8118: Niagara Falls NY,$426112,$500620,$74509,20.6%,24.2%,3.6%,$11888,0.6%,$9183,0.4%,$0,0.0%,$447183,21.6%,$5146,0.2%
8119: Syracuse NY,$440764,$495374,$54610,21.2%,23.8%,2.6%,$4986,0.2%,$17802,0.9%,$0,0.0%,$463552,22.3%,$6392,0.3%
8121: Buffalo NY,$385361,$488551,$103190,19.9%,25.2%,5.3%,$22062,1.1%,$14813,0.8%,$0,0.0%,$422235,21.8%,$5605,0.3%
8124: Lockport NY,$416056,$477945,$61889,21.7%,24.9%,3.2%,$9426,0.5%,$7423,0.4%,$0,0.0%,$432905,22.6%,$5763,0.3%
8126: Rochester NY,$503129,$539056,$35928,21.0%,22.4%,1.5%,$8531,0.4%,$41170,1.7%,$0,0.0%,$552830,23.0%,$9121,0.4%
8134: Cicero NY,$345759,$462484,$116726,22.0%,29.4%,7.4%,$10788,0.7%,$22979,1.5%,$0,0.0%,$379525,24.1%,$6758,0.4%
8135: West Seneca NY,$503371,$537840,$34469,21.3%,22.7%,1.5%,$18528,0.8%,$16727,0.7%,$0,0.0%,$538626,22.8%,$13929,0.6%
8136: Amherst NY,$643421,$636480,-$6941,21.1%,20.9%,-0.2%,$22715,0.7%,$17540,0.6%,$0,0.0%,$683676,22.4%,$19588,0.6%
